matperiod	sjukhuskod	sjukhusnamn	hsaid_vardenhet	hsaid_region	antal_genomforda	namnare_vg	taljare_vg	andel_inom_90	median_vantetid	medel_vantetid	median_patientresa	median_remiss_beslut	antal_man	antal_kvinna	n_age_<50	n_age_50-64	n_age_65-74	n_age_75-84	n_age_85+	n_vt_0-30	n_vt_31-60	n_vt_61-90	n_vt_91-120	n_vt_121-180	n_vt_>180
2026-02-28	501010	Sahlgrenska Universitetssjukhuset	SE2321000131-E000000010148	SE2321000131-E000000000001	19	14	12	85.7	61	54.6	77	39	11	8	0	1	11	7	0	6	3	8	1	1	0
2026-02-28	501040	Skaraborgs Sjukhus	SE2321000131-E000000015621	SE2321000131-E000000000001	13	10	10	100.0	58	61.8	87	35	3	10	0	1	5	5	2	1	6	4	1	1	0
2026-02-28	501050	Södra Älvsborgs Sjukhus	SE2321000131-E000000017211	SE2321000131-E000000000001	20	17	15	88.2	54.0	59.5	87	30	8	12	0	4	5	9	2	3	11	3	1	2	0
2026-02-28	501060	NU-sjukvården	SE2321000131-E000000018432	SE2321000131-E000000000001	18	12	12	100.0	61.5	65.2	90	34	11	7	0	0	15	3	0	3	5	7	0	3	0
